id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,neighborhood_name,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated,garden_num
101,M01,Manhattan,Financial District,63383,64,3,21,8,3,14,11,50,18,7,96,4,12,84,9,38,4,15,85.8,91,M,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.1,Downtown Manhattan,40.709257,-74.00198,1382114.7047146403,1322203.1966501242,NA,1
102,M02,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,M,City-As-School H.S.,16 Clarkson Street,0.11,West Village,40.729412,-74.006148,2488090.46275395,2477900.0970654627,267500,3
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,11 BC Serenity Garden,626 East 11th Street,0.054,East Village,40.727124,-73.978677,10921482.321637427,10924907.415204678,NA,43
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,Clinton Community Garden,436 West 48th Street,0.35,Hell's Kitchen,40.762717,-73.991026,2546139.053617021,3097573.049361702,297500,6
105,M05,Manhattan,Midtown,53120,67,4,19,8,2,7,12,45,22,13,92,6,17,78,11,41,10,18,84.8,86,NA,NA,NA,NA,NA,NA,NA,8641612.950969214,8634972.21949829,NA,0
106,M06,Manhattan,Stuyvesant Town and Turtle Bay,144591,71,3,16,8,2,8,11,41,23,18,91,3,15,82,10,42,13,22,85.9,90,NA,NA,NA,NA,NA,NA,NA,5334304.337926902,5364620.03055722,NA,0
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,NA,NA,NA,2592841.5122807017,2611023.3614035086,314375,5
108,M08,Manhattan,Upper East Side,225914,78,3,10,7,2,14,5,37,24,20,91,3,14,83,7,41,11,15,85.9,89,M,Life Sciences High School,320 96th Street NY NY 10128,NA,Upper East Side,NA,NA,3081325.7633949737,3067887.79943101,372727.2727272727,1
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,NA,40.826462,-73.941811,12759603.857142856,12786290.057142857,265000,13
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,Hamilton Heights,NA,NA,844122.5357142857,923161.4523809524,NA,29
111,M11,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,M,110th Street Block Association,1651 Madison Avenue,0.043,East Harlem,40.796295,-73.947533,784543.1194968553,960505.6100628931,368413.3333333333,36
112,M12,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,M,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,Washington Heights,40.833766,-73.942217,1959184,1959458.2051282052,305833.3333333333,12
201,X01,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,Q,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,NA,NA,NA,1788515.6129032257,1769096.2580645161,453846.1538461539,24
202,X02,Bronx,Hunts Point and Longwood,56144,1,21,1,76,1,28,12,29,21,10,58,41,43,16,29,58,42,38,78.9,72,X,Bryant Hill Community Garden,899-999 Bryant Avenue,0.34,Hunt's Point,40.819878,-73.886951,593876.6363636364,604940.2727272727,265000,7
203,X03,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,X,811 Family and Friends Association,809 Courtlandt Avenue,0.063,NA,40.823065,-73.91645,463588.23529411765,514203.76470588235,NA,20
204,X04,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,X,Bettes Rose Garden,Teller Avenue,NA,NA,NA,NA,4404812.5,4471147.5,258000,20
205,X05,Bronx,Fordham and University Heights,136151,1,27,2,69,1,28,12,29,23,8,66,34,46,20,34,65,34,37,79.9,67,X,Anthony Avenue Garden,2078 Anthony Avenue,0.054,NA,40.852889,-73.901885,1281900,1281900,206500,7
206,X06,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,X,2120 Mapes Avenue HDFC,2124 Mapes Avenue,0.151,NA,40.847216,-73.885018,1545195.8333333333,1628117.7333333334,175666.66666666666,20
207,X07,Bronx,Kingsbridge Heights and Bedford,148163,6,18,7,67,1,26,11,31,23,9,70,32,45,23,26,61,33,35,79.4,67,X,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,0.066,NA,40.870996,-73.884326,3740352.3928571427,3729102.3928571427,350000,7
208,X08,Bronx,Riverdale and Fieldston,102927,34,12,6,47,2,20,9,28,25,18,79,18,37,45,15,52,24,28,80.9,83,X,JFK High School - Enchanted Garden,JFK High School 99 Terrace View Avenue,NA,Marble Hill,NA,NA,5449732.674418605,5420885.178294574,334000,1
209,X09,Bronx,Parkchester and Soundview,184105,2,30,7,59,2,25,10,29,24,12,69,30,47,23,26,55,32,34,79.7,72,X,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,NA,NA,NA,NA,1902324.7391304348,1914136.3333333333,225000,7
210,X10,Bronx,Throgs Neck and Co-op City,121868,30,23,5,40,1,20,9,26,27,18,75,16,50,34,14,45,24,37,81.1,77,X,Maritime Academy @ P.S. 10,"2770 Lafayette Avenue, Bronx, NY 10465",NA,Schuylerville,NA,NA,2819891.8181818184,2814308.484848485,NA,2
211,X11,Bronx,Morris Park and Bronxdale,116180,24,21,9,45,1,22,9,30,24,14,74,24,44,32,21,55,32,31,79.9,80,X,M.S. 144,2545 Gunther Avenue,0.459,NA,40.863735,-73.83607,1075342.9259259258,1069611.4444444445,NA,1
212,X12,Bronx,Williamsbridge and Baychester,156542,6,65,2,25,2,24,10,27,26,13,70,20,48,32,23,57,30,39,81,78,X,211th Street Block Association.,Carlisle Place,0.182,NA,NA,NA,1659034,1655369.707070707,NA,4
301,B01,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,77,17,33,50,17,48,23,25,81.1,79,B,Berry Street Garden,301-303 Berry Street,0.137,Williamsburg,40.713449,-73.963827,576375.8551461245,656460.7420584498,321444.44444444444,16
302,B02,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,B,Bridge Plaza Community Garden,Bridge St,NA,NA,NA,NA,2125094.788617886,2297045.4991869917,156000,16
303,B03,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,B,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,0.044,Bed-Stuy,NA,NA,795790.75,771637.1694915254,210000,48
304,B04,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,B,Aberdeen Street II Garden Projects,Aberdeen Street,0.253,NA,NA,NA,556648.9047619047,601285.6031746032,326250,13
305,B05,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,B,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,0.091,East New York,NA,NA,427860.47524752474,719763.7425742574,NA,52
306,B06,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,B,Amazing Garden,261-265 Columbia Street,0.103,Red Hook,40.683251,-74.003548,1500580.4378378377,1465623.8513513512,182450,15
307,B07,Brooklyn,Sunset Park,132721,23,3,30,42,2,22,9,39,21,9,75,41,29,30,29,57,24,27,82.6,74,B,6/15 Green,274 15th Street,0.287,Park Slope,40.664706,-73.987554,2751369.8088235296,2805587.268382353,380666.6666666667,3
308,B08,Brooklyn,Crown Heights and Prospect Heights,97130,18,64,3,12,3,20,9,37,22,12,71,16,40,44,21,50,26,33,79.3,84,B,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,0.207,Crown Heights,NA,NA,768592.1428571428,832778.3788819875,287500,14
309,B09,Brooklyn,South Crown Heights and Lefferts Gardens,98650,18,69,2,9,2,22,9,30,25,14,77,16,48,35,22,55,32,37,81.2,78,B,Eastern Parkway Coalition,"Eastern Pkwy.,W/O Franklin",0.44,Crown Heights,NA,NA,1137490.8153846154,1146408.8153846154,202500,4
310,B10,Brooklyn,Bay Ridge and Dyker Heights,142075,59,1,23,14,2,20,7,34,25,15,82,19,35,46,19,49,24,23,83.1,74,NA,NA,NA,NA,NA,NA,NA,1596490.6370967743,1580370.6169354839,NA,0
311,B11,Brooklyn,Bensonhurst,204829,47,1,39,12,1,20,8,31,26,15,85,26,38,36,23,52,21,26,83.8,65,B,I.S. 227 - Shallow's School Yard Santuaries,6500 16th Avenue & 65th Street,NA,NA,NA,NA,698422.2228739003,777888.4252199413,210714.2857142857,3
312,B12,Brooklyn,Borough Park,201640,63,2,21,13,1,34,9,28,18,10,77,23,45,32,28,64,15,27,84.2,78,B,I.S. 62 - The Greening of Ditmas,700 Cortelyou Road,NA,Kensington,40.638686,-73.971651,1127490.1887323943,1148410.4873239438,204285.7142857143,3
313,B13,Brooklyn,Coney Island,106459,56,12,14,16,1,19,8,25,27,22,71,18,37,45,24,55,28,31,80.4,70,B,Santos White Garden,2110 Mermaid Avenue,0.141,Coney Island,40.576242,-73.988189,5339519.774193549,5376204.198924731,266666.6666666667,5
314,B14,Brooklyn,Flatbush and Midwood,165543,37,35,11,15,2,25,9,29,24,13,75,18,39,43,22,57,28,31,82.4,77,B,P.S. 249,18 Marlborough Road,NA,NA,40.64971,-73.966046,1794807.296803653,1817277.1369863013,195753.125,4
315,B15,Brooklyn,Sheepshead Bay,173961,70,3,18,8,1,21,8,28,26,17,82,15,38,47,19,53,26,25,83.7,70,NA,NA,NA,NA,NA,NA,NA,923842.3803596128,935101.9225449516,241666.66666666666,0
316,B16,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,B,700 Decatur Street Block Association,700 Decatur Street,0.114,Bed-Stuy,40.683541,-73.915121,1914727.2727272727,2039472.393939394,NA,22
317,B17,Brooklyn,East Flatbush,154575,1,88,1,7,2,21,9,28,28,15,78,15,55,30,19,54,34,36,82.6,83,B,P.S. 181K - Garden Club,1023 New York Avenue,NA,NA,40.648215,-73.946374,2422878.4296296295,2142922.777777778,242642.85714285713,4
318,B18,Brooklyn,Flatlands and Canarsie,195264,26,59,5,8,2,23,9,27,28,13,80,13,48,40,15,50,30,37,82,89,B,P.S. 119,3829 Avenue K,NA,NA,40.625662,-73.938265,1135968.026058632,1135345.276872964,NA,2
401,Q01,Queens,Long Island City and Astoria,199969,43,10,16,29,2,16,10,41,22,12,78,16,33,50,18,47,19,23,83.4,79,Q,Long Island City Roots Community Garden,47th Avenue.,NA,NA,NA,NA,3680614.814516129,3672338.5322580645,558461.5384615385,2
402,Q02,Queens,Woodside and Sunnyside,135972,26,2,35,34,2,17,8,39,24,12,86,19,35,45,20,51,20,23,85.4,79,Q,"LIC Comm. Gardens, Inc.",S/S 49th Avenue./W/O Vernon Boulevard.,0.172,Long Island City,NA,NA,7858116.826086956,7841677.009661836,319444.44444444444,1
403,Q03,Queens,Jackson Heights,179844,11,6,18,64,1,22,9,32,24,12,78,30,43,27,25,59,20,29,84.7,72,Q,97th Street Block Association,33-28 97th Street,0.177,Corona,40.756409,-73.87122,4065590.964028777,4075683.2661870504,117500,3
404,Q04,Queens,Elmhurst and Corona,188107,6,5,36,51,1,21,9,33,25,11,81,30,42,28,27,62,23,27,85.6,68,Q,Corona Taxpayers Association,52-02 102nd  Street,0.18,Corona,40.741788,-73.859801,1968289.862244898,1976038.2908163266,124000,2
405,Q05,Queens,Ridgewood and Maspeth,166924,52,1,9,36,1,22,8,31,26,13,82,16,50,33,19,46,22,23,81.4,78,Q,P.S. 49Q,79-15 Penelope Avenue,0.007,NA,40.719071,-73.875437,706879.4105263158,695557.950877193,318200,2
406,Q06,Queens,Rego Park and Forest Hills,115119,51,3,30,14,2,16,5,31,28,19,91,8,30,62,16,50,19,28,84.4,82,Q,P.S. 139Q,93-06 63rd Drive,NA,NA,40.72814,-73.863582,6355262.608333333,6257326.983333333,328000,2
407,Q07,Queens,Flushing and Whitestone,263039,26,2,54,16,2,17,7,28,30,18,86,23,40,37,25,57,13,22,84.3,71,Q,P.S. 120Q - Millenium Garden,58-01 136th Street,0.01,Flushing,40.745526,-73.829309,2550433.9783653845,2570214.9435096155,267307.6923076923,1
408,Q08,Queens,Hillcrest and Fresh Meadows,156217,31,13,35,18,3,20,10,28,27,15,86,14,37,50,22,54,20,24,83.9,79,Q,John Bowne High School,"63-25 Main Street  Flushing, NY 11367",2.296,NA,40.738139,-73.824944,2012111.2549800796,1988256.637450199,300000,1
409,Q09,Queens,Kew Gardens and Woodhaven,148465,18,9,27,41,4,23,9,30,27,11,79,23,43,34,22,55,23,22,82.9,78,Q,M.S. 210 - YMCA Beacon Center Garden,"93-11 101st Street, Ozone Park, NY 11416",NA,Ozone Park,NA,NA,1179519.0866666667,1158105.7533333334,304928.5714285714,1
410,Q10,Queens,South Ozone Park and Howard Beach,125603,24,20,25,24,6,22,9,28,28,13,82,23,49,28,19,56,27,34,81.7,77,Q,P.S. 96Q - Garden of Hope,130-01 Rockaway Boulevard.,NA,So. Ozone Park,40.674991,-73.808371,1401535.95256917,1382136.743083004,200000,1
411,Q11,Queens,Bayside and Little Neck,119628,43,2,43,10,1,19,6,26,31,18,95,11,37,52,14,46,20,26,84.7,86,Q,Pembroke Avenue Community Garden (Van Nostrand Court Garden),E/S Pembroke Avenue,0.095,NA,NA,NA,4031078.0955710956,4038798.871794872,344500,1
412,Q12,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,Q,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,0.092,NA,40.683535,-73.792211,545464.6961538461,533962.0115384615,248142.85714285713,11
413,Q13,Queens,Queens Village,193787,12,56,18,12,3,20,9,26,29,16,83,13,49,38,13,50,27,37,82.9,74,Q,Cambria Heights Civic Association,227th Street,0.207,Cambria Heights,NA,NA,5823877.79403794,5823280.471544716,293797.5,2
414,Q14,Queens,Rockaway and Broad Channel,114390,33,40,3,22,2,26,8,25,26,14,71,22,43,35,18,53,32,34,76.5,75,Q,Beach Channel High School,100-00 Beach Channel Drive,NA,Far Rockaway,40.586066,-73.822624,3423594.900763359,3686362.809160305,288166.6666666667,3
501,R01,Staten Island,St. George and Stapleton,181484,38,22,9,30,2,24,10,27,26,13,73,15,48,37,21,51,24,26,79,77,R,Joe Holzka Community Garden,1161 Castleton Avenue,0.429,NA,40.634234,-74.12114,649692.0030959753,633706.334365325,415000,3
502,R02,Staten Island,South Beach and Willowbrook,134657,68,3,13,14,2,20,8,25,29,18,87,11,49,40,14,52,25,27,81.2,76,NA,NA,NA,NA,NA,NA,NA,551227.0145985401,534878.0401459854,NA,0
503,R03,Staten Island,Tottenville and Great Kills,159132,84,1,5,9,1,21,8,26,29,16,89,8,51,41,11,42,26,22,81.3,88,R,Bayview Habitat,Bayview Terrace,0.276,NA,NA,NA,572247.588770865,567703.2610015174,NA,1
